county,precinct,office,district,party,candidate,votes
ADAIR,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2116
ADAIR,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,919
ALLEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1695
ALLEN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,850
BALLARD,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,716
BALLARD,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1912
BUTLER,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1680
BUTLER,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,723
CALDWELL,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1468
CALDWELL,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1493
CALLOWAY,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3650
CALLOWAY,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,2633
CARLISLE,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,565
CARLISLE,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,950
CHRISTIAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,5710
CHRISTIAN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,3220
CLINTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1563
CLINTON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,517
CRITTENDEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1290
CRITTENDEN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1021
CUMBERLAND,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,920
CUMBERLAND,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,320
FULTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,631
FULTON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,957
GRAVES,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3474
GRAVES,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,3675
HENDERSON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3395
HENDERSON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,4170
HICKMAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,542
HICKMAN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,976
HOPKINS,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,4129
HOPKINS,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,4085
LIVINGSTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1058
LIVINGSTON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1409
LOGAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2504
LOGAN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,3183
LYON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,753
LYON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1072
MARSHALL,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3476
MARSHALL,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,4330
MCCRACKEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,7718
MCCRACKEN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,8796
MCLEAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,927
MCLEAN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1243
MONROE,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1851
MONROE,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,437
MUHLENBERG,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2792
MUHLENBERG,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,3808
OHIO,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2467
OHIO,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1906
RUSSELL,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2149
RUSSELL,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,861
SIMPSON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1050
SIMPSON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,950
TODD,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1220
TODD,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,983
TRIGG,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1471
TRIGG,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1248
UNION,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,943
UNION,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1947
WEBSTER,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,926
WEBSTER,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1793
ADAIR,,US HOUSE,002,REPUBLICAN,RON LEWIS,8
ADAIR,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,2
BARREN,,US HOUSE,002,REPUBLICAN,RON LEWIS,3938
BARREN,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,2749
BRECKINRIDGE,,US HOUSE,002,REPUBLICAN,RON LEWIS,2690
BRECKINRIDGE,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,2143
BULLITT,,US HOUSE,002,REPUBLICAN,RON LEWIS,6154
BULLITT,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,3841
CASEY,,US HOUSE,002,REPUBLICAN,RON LEWIS,2068
CASEY,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,518
DAVIESS,,US HOUSE,002,REPUBLICAN,RON LEWIS,13287
DAVIESS,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,12590
EDMONSON,,US HOUSE,002,REPUBLICAN,RON LEWIS,2046
EDMONSON,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,768
GRAYSON,,US HOUSE,002,REPUBLICAN,RON LEWIS,3792
GRAYSON,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,1436
GREEN,,US HOUSE,002,REPUBLICAN,RON LEWIS,2306
GREEN,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,904
HANCOCK,,US HOUSE,002,REPUBLICAN,RON LEWIS,1439
HANCOCK,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,1048
HARDIN,,US HOUSE,002,REPUBLICAN,RON LEWIS,11576
HARDIN,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,6141
HART,,US HOUSE,002,REPUBLICAN,RON LEWIS,2300
HART,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,1322
JEFFERSON,,US HOUSE,002,REPUBLICAN,RON LEWIS,8348
JEFFERSON,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,4575
LARUE,,US HOUSE,002,REPUBLICAN,RON LEWIS,2082
LARUE,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,1084
LINCOLN,,US HOUSE,002,REPUBLICAN,RON LEWIS,410
LINCOLN,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,279
MARION,,US HOUSE,002,REPUBLICAN,RON LEWIS,1536
MARION,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,2192
MEADE,,US HOUSE,002,REPUBLICAN,RON LEWIS,2343
MEADE,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,2099
METCALFE,,US HOUSE,002,REPUBLICAN,RON LEWIS,1192
METCALFE,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,884
NELSON,,US HOUSE,002,REPUBLICAN,RON LEWIS,3506
NELSON,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,3356
SPENCER,,US HOUSE,002,REPUBLICAN,RON LEWIS,988
SPENCER,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,689
TAYLOR,,US HOUSE,002,REPUBLICAN,RON LEWIS,3773
TAYLOR,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,1991
WARREN,,US HOUSE,002,REPUBLICAN,RON LEWIS,13088
WARREN,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,9021
WASHINGTON,,US HOUSE,002,REPUBLICAN,RON LEWIS,1665
WASHINGTON,,US HOUSE,002,DEMOCRAT,DAVID ADKISSON,1235
JEFFERSON,,US HOUSE,003,DEMOCRAT,MIKE WARD,67663
JEFFERSON,,US HOUSE,003,REPUBLICAN,SUSAN B STOKES,67238
JEFFERSON,,US HOUSE,003,TAXPAYERS,RICHARD LEWIS,17591
JEFFERSON,,US HOUSE,003,WRITE-IN,VALERIE COHEN,31
BOONE,,US HOUSE,004,REPUBLICAN,JIM BUNNING,11004
BOONE,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,2609
BOYD,,US HOUSE,004,REPUBLICAN,JIM BUNNING,7322
BOYD,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,3524
BRACKEN,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1135
BRACKEN,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,295
CAMPBELL,,US HOUSE,004,REPUBLICAN,JIM BUNNING,15327
CAMPBELL,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,3979
CARROLL,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1031
CARROLL,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,473
CARTER,,US HOUSE,004,REPUBLICAN,JIM BUNNING,2980
CARTER,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,1563
ELLIOTT,,US HOUSE,004,REPUBLICAN,JIM BUNNING,668
ELLIOTT,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,792
FLEMING,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1517
FLEMING,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,691
GALLATIN,,US HOUSE,004,REPUBLICAN,JIM BUNNING,959
GALLATIN,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,509
GRANT,,US HOUSE,004,REPUBLICAN,JIM BUNNING,2400
GRANT,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,774
GREENUP,,US HOUSE,004,REPUBLICAN,JIM BUNNING,4914
GREENUP,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,2762
HENRY,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1649
HENRY,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,1041
KENTON,,US HOUSE,004,REPUBLICAN,JIM BUNNING,23934
KENTON,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,5921
LAWRENCE,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1158
LAWRENCE,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,865
LEWIS,,US HOUSE,004,REPUBLICAN,JIM BUNNING,2177
LEWIS,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,564
MASON,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1854
MASON,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,862
NICHOLAS,,US HOUSE,004,REPUBLICAN,JIM BUNNING,60
NICHOLAS,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,25
OLDHAM,,US HOUSE,004,REPUBLICAN,JIM BUNNING,7730
OLDHAM,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,2198
OWEN,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1153
OWEN,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,609
PENDLETON,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1872
PENDLETON,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,567
ROBERTSON,,US HOUSE,004,REPUBLICAN,JIM BUNNING,246
ROBERTSON,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,127
ROWAN,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1384
ROWAN,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,832
SHELBY,,US HOUSE,004,REPUBLICAN,JIM BUNNING,3215
SHELBY,,US HOUSE,004,DEMOCRAT,SALLY HARRIS SKAGGS,1575
TRIMBLE,,US HOUSE,004,REPUBLICAN,JIM BUNNING,1006
