county,precinct,office,district,party,candidate,votes
,,US HOUSE,001,LIBERTARIAN,CHRIS LAWRENCE,3310
,,US HOUSE,001,DEMOCRAT,"JOE T ""JOEY"" GRIST JR",59763
,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,145967
,,US HOUSE,002,DEMOCRAT,BENNIE G THOMPSON,112777
,,US HOUSE,002,REPUBLICAN,HARDY CARAWAY,54090
,,US HOUSE,002,REFORM,LEE F DILWORTH,2135
,,US HOUSE,002,LIBERTARIAN,WILLIAM G CHIPMAN,4305
,,US HOUSE,003,REPUBLICAN,"CHARLES W ""CHIP"" PICKERING",153899
,,US HOUSE,003,LIBERTARIAN,JONATHAN GOLDEN,2313
,,US HOUSE,003,DEMOCRAT,WILLIAM CLAY THRASH,54151
,,US HOUSE,004,REFORM,BETTY PHARR,1504
,,US HOUSE,004,REPUBLICAN,DUNN LAMPTON,79218
,,US HOUSE,004,LIBERTARIAN,ERNIE JOHN HOPKINS,2580
,,US HOUSE,004,DEMOCRAT,RONNIE SHOWS,115732
,,US HOUSE,005,DEMOCRAT,GENE TAYLOR,153264
,,US HOUSE,005,REFORM,KATIE PERRONE,2820
,,US HOUSE,005,REPUBLICAN,RANDY MCDONNELL,35309
,,US HOUSE,005,LIBERTARIAN,WAYNE L PARKER,3002
