county,precinct,office,district,party,candidate,votes
ADAMS,13901,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,982
ADAMS,13901,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,201
ADAMS,13901,US HOUSE,AT-LARGE,,WRITE-IN,4
BARNES,22401,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,232
BARNES,22402,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,413
BARNES,22403,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,228
BARNES,22404,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,402
BARNES,22405,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,554
BARNES,22406,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,261
BARNES,22407,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,101
BARNES,22408,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,119
BARNES,22409,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,180
BARNES,22410,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,54
BARNES,22411,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,464
BARNES,22412,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,181
BARNES,22413,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,190
BARNES,22414,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,61
BARNES,22415,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,160
BARNES,22401,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,141
BARNES,22402,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,277
BARNES,22403,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,121
BARNES,22404,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,199
BARNES,22405,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,291
BARNES,22406,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,89
BARNES,22407,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,37
BARNES,22408,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,29
BARNES,22409,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,41
BARNES,22410,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,28
BARNES,22411,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,172
BARNES,22412,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,46
BARNES,22413,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,85
BARNES,22414,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,23
BARNES,22415,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,35
BARNES,22405,US HOUSE,AT-LARGE,,WRITE-IN,2
BARNES,22406,US HOUSE,AT-LARGE,,WRITE-IN,2
BARNES,22407,US HOUSE,AT-LARGE,,WRITE-IN,1
BARNES,22409,US HOUSE,AT-LARGE,,WRITE-IN,1
BARNES,22411,US HOUSE,AT-LARGE,,WRITE-IN,4
BARNES,22412,US HOUSE,AT-LARGE,,WRITE-IN,2
BARNES,22415,US HOUSE,AT-LARGE,,WRITE-IN,1
BENSON,30901,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,286
BENSON,30902,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,109
BENSON,30903,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,163
BENSON,30904,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,44
BENSON,30905,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,147
BENSON,31401,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,181
BENSON,31402,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,197
BENSON,31403,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,13
BENSON,30901,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,116
BENSON,30902,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,92
BENSON,30903,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,140
BENSON,30904,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,135
BENSON,30905,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,134
BENSON,31401,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,66
BENSON,31402,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,81
BENSON,31403,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,13
BENSON,30901,US HOUSE,AT-LARGE,,WRITE-IN,1
BENSON,30905,US HOUSE,AT-LARGE,,WRITE-IN,4
BENSON,31401,US HOUSE,AT-LARGE,,WRITE-IN,3
BILLINGS,43901,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,153
BILLINGS,43902,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,302
BILLINGS,43903,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,95
BILLINGS,43901,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,56
BILLINGS,43902,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,21
BILLINGS,43903,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,13
BILLINGS,43901,US HOUSE,AT-LARGE,,WRITE-IN,1
BILLINGS,43902,US HOUSE,AT-LARGE,,WRITE-IN,2
BOTTINEAU,50601,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,443
BOTTINEAU,50602,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,632
BOTTINEAU,50603,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,460
BOTTINEAU,50604,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,578
BOTTINEAU,50605,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,524
BOTTINEAU,50601,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,171
BOTTINEAU,50602,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,172
BOTTINEAU,50603,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,145
BOTTINEAU,50604,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,148
BOTTINEAU,50605,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,114
BOTTINEAU,50601,US HOUSE,AT-LARGE,,WRITE-IN,5
BOTTINEAU,50602,US HOUSE,AT-LARGE,,WRITE-IN,1
BOTTINEAU,50603,US HOUSE,AT-LARGE,,WRITE-IN,1
BOTTINEAU,50604,US HOUSE,AT-LARGE,,WRITE-IN,5
BOTTINEAU,50605,US HOUSE,AT-LARGE,,WRITE-IN,3
BOWMAN,63901,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,578
BOWMAN,63902,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,360
BOWMAN,63903,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,180
BOWMAN,63904,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,250
BOWMAN,63901,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,113
BOWMAN,63902,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,43
BOWMAN,63903,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,28
BOWMAN,63904,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,49
BOWMAN,63901,US HOUSE,AT-LARGE,,WRITE-IN,2
BOWMAN,63902,US HOUSE,AT-LARGE,,WRITE-IN,1
BOWMAN,63903,US HOUSE,AT-LARGE,,WRITE-IN,2
BURKE,70201,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,33
BURKE,70202,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,260
BURKE,70203,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,292
BURKE,70204,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,121
BURKE,70205,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,113
BURKE,70206,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,61
BURKE,70201,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,4
BURKE,70202,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,53
BURKE,70203,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,41
BURKE,70204,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,25
BURKE,70205,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,14
BURKE,70206,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,11
BURKE,70203,US HOUSE,AT-LARGE,,WRITE-IN,4
BURKE,70204,US HOUSE,AT-LARGE,,WRITE-IN,1
BURKE,70205,US HOUSE,AT-LARGE,,WRITE-IN,3
BURKE,70206,US HOUSE,AT-LARGE,,WRITE-IN,1
BURLEIGH,80801,US HOUSE,AT-LARGE,,WRITE-IN,1
BURLEIGH,80701,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,855
BURLEIGH,80702,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1547
BURLEIGH,80703,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1463
BURLEIGH,80704,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2222
BURLEIGH,80705,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1145
BURLEIGH,80801,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,132
BURLEIGH,80802,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1421
BURLEIGH,80803,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,261
BURLEIGH,80804,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2674
BURLEIGH,80805,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1635
BURLEIGH,80806,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,321
BURLEIGH,81401,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,244
BURLEIGH,81402,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,135
BURLEIGH,81403,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,236
BURLEIGH,83001,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1616
BURLEIGH,83002,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,38
BURLEIGH,83003,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1896
BURLEIGH,83004,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2077
BURLEIGH,83201,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,775
BURLEIGH,83202,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,962
BURLEIGH,83203,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,948
BURLEIGH,83204,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2370
BURLEIGH,83501,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1383
BURLEIGH,83502,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1754
BURLEIGH,83503,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1054
BURLEIGH,83504,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1250
BURLEIGH,84701,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2669
BURLEIGH,84702,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1986
BURLEIGH,84703,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1155
BURLEIGH,84704,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,990
BURLEIGH,80701,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,219
BURLEIGH,80702,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,440
BURLEIGH,80703,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,472
BURLEIGH,80704,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,848
BURLEIGH,80705,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,222
BURLEIGH,80801,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,37
BURLEIGH,80802,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,381
BURLEIGH,80803,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,59
BURLEIGH,80804,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,564
BURLEIGH,80805,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,429
BURLEIGH,80806,US HOUSE,AT-LARGE,DEMOCRAT,TRYGVE HAMMER,79
BURLEIGH,80802,US HOUSE,AT-LARGE,,WRITE-IN,15
BURLEIGH,80804,US HOUSE,AT-LARGE,,WRITE-IN,29
BURLEIGH,80805,US HOUSE,AT-LARGE,,WRITE-IN,18
BURLEIGH,80806,US HOUSE,AT-LARGE,,WRITE-IN,13
BURLEIGH,81401,US HOUSE,AT-LARGE,,WRITE-IN,9
BURLEIGH,81402,US HOUSE,AT-LARGE,,WRITE-IN,2
BURLEIGH,81403,US HOUSE,AT-LARGE,,WRITE-IN,6
BURLEIGH,83001,US HOUSE,AT-LARGE,,WRITE-IN,19
BURLEIGH,83003,US HOUSE,AT-LARGE,,WRITE-IN,14
BURLEIGH,83004,US HOUSE,AT-LARGE,,WRITE-IN,16
BURLEIGH,83201,US HOUSE,AT-LARGE,,WRITE-IN,5
BURLEIGH,83202,US HOUSE,AT-LARGE,,WRITE-IN,15
BURLEIGH,83203,US HOUSE,AT-LARGE,,WRITE-IN,7
BURLEIGH,83204,US HOUSE,AT-LARGE,,WRITE-IN,17
BURLEIGH,83501,US HOUSE,AT-LARGE,,WRITE-IN,15
BURLEIGH,83502,US HOUSE,AT-LARGE,,WRITE-IN,35
BURLEIGH,83503,US HOUSE,AT-LARGE,,WRITE-IN,15
BURLEIGH,83504,US HOUSE,AT-LARGE,,WRITE-IN,9
BURLEIGH,84701,US HOUSE,AT-LARGE,,WRITE-IN,18
BURLEIGH,84702,US HOUSE,AT-LARGE,,WRITE-IN,9
BURLEIGH,84703,US HOUSE,AT-LARGE,,WRITE-IN,5
BURLEIGH,84704,US HOUSE,AT-LARGE,,WRITE-IN,3
CASS,94602,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1282
CASS,91001,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,996
CASS,91002,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1011
CASS,91003,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1176
CASS,91101,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2057
CASS,91102,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1459
CASS,91301,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1452
CASS,91302,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1785
CASS,91303,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1799
CASS,91601,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2619
CASS,91602,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2388
CASS,92101,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1206
CASS,92102,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1481
CASS,92201,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,472
CASS,92202,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,296
CASS,92203,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,409
CASS,92204,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1692
CASS,92205,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2457
CASS,92206,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1049
CASS,92207,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,260
CASS,92701,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2605
CASS,92702,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2733
CASS,92703,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,956
CASS,94101,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2012
CASS,94102,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,3173
CASS,94401,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1240
CASS,94402,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1902
CASS,94501,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,2568
CASS,94502,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,920
CASS,94503,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,813
CASS,94504,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,499
CASS,94601,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1025
CASS,94603,US HOUSE,AT-LARGE,REPUBLICAN,JULIE FEDORCHAK,1329
