county,precinct,office,district,party,candidate,votes
,,US HOUSE,001,DEMOCRAT,GREG HARRIS,116235
,,US HOUSE,001,REPUBLICAN,STEVE CHABOT,173430
,,US HOUSE,001,WRITE-IN,WRITEIN,198
,,US HOUSE,002,DEMOCRAT,CHARLES W SANDERS,89598
,,US HOUSE,002,NONPARTISAN,JAMES CONDIT JR,60
,,US HOUSE,002,REPUBLICAN,ROB PORTMAN,227102
,,US HOUSE,003,DEMOCRAT,JANE MITAKIDES,119448
,,US HOUSE,003,REPUBLICAN,MICHAEL R TURNER,197290
,,US HOUSE,004,DEMOCRAT,BEN KONOP,118538
,,US HOUSE,004,REPUBLICAN,MICHAEL G OXLEY,167807
,,US HOUSE,005,REPUBLICAN,PAUL E GILLMOR,196649
,,US HOUSE,005,DEMOCRAT,ROBIN WEIRAUCH,96656
,,US HOUSE,006,DEMOCRAT,TED STRICKLAND,223842
,,US HOUSE,006,WRITE-IN,WRITEIN,145
,,US HOUSE,007,REPUBLICAN,DAVID L HOBSON,186534
,,US HOUSE,007,DEMOCRAT,KARA ANASTASIO,100617
,,US HOUSE,008,DEMOCRAT,JEFF HARDENBROOK,90574
,,US HOUSE,008,REPUBLICAN,JOHN A BOEHNER,201675
,,US HOUSE,009,REPUBLICAN,LARRY A KACZALA,95983
,,US HOUSE,009,DEMOCRAT,MARCY KAPTUR,205149
,,US HOUSE,010,NONPARTISAN,BARBARA ANNE FERRIS,18343
,,US HOUSE,010,DEMOCRAT,DENNIS J KUCINICH,172406
,,US HOUSE,010,REPUBLICAN,EDWARD FITZPATRICK HERMAN,96463
,,US HOUSE,011,DEMOCRAT,STEPHANIE TUBBS JONES,222371
,,US HOUSE,012,DEMOCRAT,EDWARD S BROWN,122109
,,US HOUSE,012,REPUBLICAN,PATRICK J TIBERI,198912
,,US HOUSE,012,WRITE-IN,WRITEIN,25
,,US HOUSE,013,REPUBLICAN,ROBERT LUCAS,97090
,,US HOUSE,013,DEMOCRAT,SHERROD BROWN,201004
,,US HOUSE,014,DEMOCRAT,CAPRI S CAFARO,119714
,,US HOUSE,014,REPUBLICAN,STEVEN C LATOURETTE,201652
,,US HOUSE,015,REPUBLICAN,DEBORAH PRYCE,166520
,,US HOUSE,015,DEMOCRAT,MARK P BROWN,110915
,,US HOUSE,016,DEMOCRAT,JEFF SEEMANN,101817
,,US HOUSE,016,REPUBLICAN,RALPH REGULA,202544
,,US HOUSE,017,REPUBLICAN,FRANK V CUSIMANO,62871
,,US HOUSE,017,DEMOCRAT,TIM RYAN,212800
,,US HOUSE,018,DEMOCRAT,BRIAN R THOMAS,90820
,,US HOUSE,018,REPUBLICAN,ROBERT W NEY,177600
